label_combination,best_model,n_samples,samples_a_c_b,samples_a_pu_b,samples_b_m_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,samples_i_sg_b,samples_m_et_s,samples_m_gp_s,samples_n_3_s,samples_o_sq_s,samples_p_af_b,samples_p_af_s,samples_p_sf_b,samples_p_sf_s
a_c_b_a_pu_b_b_m_b,RandomForest,72,24.0,24.0,24.0,0.4166666666666667,0.43703703703703706,0.4166666666666667,0.4215167548500882,0.437037037037037,0.4166666666666667,0.4215167548500882,,,,,,,,,
a_c_b_a_pu_b_i_sg_b,SVM,72,24.0,24.0,,0.4444444444444444,0.444055944055944,0.4444444444444444,0.443768115942029,0.44405594405594406,0.4444444444444444,0.44376811594202903,24.0,,,,,,,,
a_c_b_a_pu_b_m_et_s,SVM,72,24.0,24.0,,0.4583333333333333,0.4329848650335466,0.4583333333333333,0.44189599631845383,0.4329848650335466,0.4583333333333333,0.4418959963184538,,24.0,,,,,,,
a_c_b_a_pu_b_m_gp_s,RandomForest,72,24.0,24.0,,0.5138888888888888,0.5166666666666667,0.513888888888889,0.5133333333333333,0.5166666666666667,0.5138888888888888,0.5133333333333333,,,24.0,,,,,,
a_c_b_a_pu_b_n_3_s,RandomForest,72,24.0,24.0,,0.5972222222222222,0.5952520372810227,0.5972222222222222,0.5950251824442389,0.5952520372810228,0.5972222222222222,0.5950251824442389,,,,24.0,,,,,
a_c_b_a_pu_b_o_sq_s,RandomForest,72,24.0,24.0,,0.4444444444444444,0.4481763447280689,0.4444444444444445,0.4440190806064473,0.44817634472806883,0.4444444444444444,0.4440190806064473,,,,,24.0,,,,
a_c_b_a_pu_b_p_af_b,RandomForest,72,24.0,24.0,,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.48378010878010874,0.4861111111111111,0.4861111111111111,0.4837801087801088,,,,,,24.0,,,
a_c_b_a_pu_b_p_af_s,RandomForest,72,24.0,24.0,,0.6666666666666666,0.6638795986622074,0.6666666666666666,0.6646808510638298,0.6638795986622072,0.6666666666666666,0.6646808510638298,,,,,,,24.0,,
a_c_b_a_pu_b_p_sf_b,RandomForest,72,24.0,24.0,,0.375,0.36481481481481487,0.375,0.3686747426243224,0.3648148148148148,0.375,0.3686747426243224,,,,,,,,24.0,
a_c_b_a_pu_b_p_sf_s,RandomForest,72,24.0,24.0,,0.4583333333333333,0.45476190476190476,0.4583333333333333,0.4545454545454546,0.4547619047619048,0.4583333333333333,0.45454545454545453,,,,,,,,,24.0
a_c_b_b_m_b_i_sg_b,SVM,72,24.0,,24.0,0.5138888888888888,0.5277777777777778,0.513888888888889,0.5063492063492063,0.5277777777777778,0.5138888888888888,0.5063492063492063,24.0,,,,,,,,
a_c_b_b_m_b_m_et_s,RandomForest,72,24.0,,24.0,0.6388888888888888,0.6358024691358025,0.6388888888888888,0.6321195144724556,0.6358024691358025,0.6388888888888888,0.6321195144724556,,24.0,,,,,,,
a_c_b_b_m_b_m_gp_s,RandomForest,72,24.0,,24.0,0.4861111111111111,0.4871794871794872,0.4861111111111111,0.48624113475177305,0.4871794871794872,0.4861111111111111,0.4862411347517731,,,24.0,,,,,,
a_c_b_b_m_b_n_3_s,RandomForest,72,24.0,,24.0,0.6666666666666666,0.6668357487922706,0.6666666666666666,0.6665641433878516,0.6668357487922705,0.6666666666666666,0.6665641433878516,,,,24.0,,,,,
a_c_b_b_m_b_o_sq_s,RandomForest,72,24.0,,24.0,0.5138888888888888,0.5142483660130718,0.5138888888888888,0.507137633734614,0.514248366013072,0.5138888888888888,0.507137633734614,,,,,24.0,,,,
a_c_b_b_m_b_p_af_b,SVM,72,24.0,,24.0,0.5972222222222222,0.6113952827507815,0.5972222222222222,0.58791253582156,0.6113952827507815,0.5972222222222222,0.58791253582156,,,,,,24.0,,,
a_c_b_b_m_b_p_af_s,RandomForest,72,24.0,,24.0,0.6944444444444444,0.6986775972283219,0.6944444444444445,0.6952410319662863,0.6986775972283219,0.6944444444444444,0.6952410319662864,,,,,,,24.0,,
a_c_b_b_m_b_p_sf_b,RandomForest,72,24.0,,24.0,0.5416666666666666,0.5495061728395062,0.5416666666666666,0.5432415390398584,0.5495061728395062,0.5416666666666666,0.5432415390398584,,,,,,,,24.0,
a_c_b_b_m_b_p_sf_s,RandomForest,72,24.0,,24.0,0.5972222222222222,0.594047619047619,0.5972222222222222,0.592948717948718,0.594047619047619,0.5972222222222222,0.592948717948718,,,,,,,,,24.0
a_c_b_i_sg_b_m_et_s,RandomForest,72,24.0,,,0.5416666666666666,0.530316742081448,0.5416666666666666,0.5190862924853072,0.530316742081448,0.5416666666666666,0.5190862924853072,24.0,24.0,,,,,,,
a_c_b_i_sg_b_m_gp_s,SVM,72,24.0,,,0.3611111111111111,0.3522100122100122,0.3611111111111111,0.356130007558579,0.35221001221001225,0.3611111111111111,0.356130007558579,24.0,,24.0,,,,,,
a_c_b_i_sg_b_n_3_s,RandomForest,72,24.0,,,0.625,0.6257246376811594,0.625,0.6251809234332031,0.6257246376811594,0.625,0.6251809234332031,24.0,,,24.0,,,,,
a_c_b_i_sg_b_o_sq_s,RandomForest,72,24.0,,,0.4722222222222222,0.4872202056866304,0.47222222222222227,0.4765796401930671,0.4872202056866304,0.4722222222222222,0.47657964019306714,24.0,,,,24.0,,,,
a_c_b_i_sg_b_p_af_b,SVM,72,24.0,,,0.4305555555555556,0.4232901093312993,0.4305555555555556,0.4232106095869909,0.42329010933129924,0.4305555555555556,0.4232106095869909,24.0,,,,,24.0,,,
a_c_b_i_sg_b_p_af_s,SVM,72,24.0,,,0.4722222222222222,0.4721497584541063,0.47222222222222215,0.47205939113233947,0.4721497584541063,0.4722222222222222,0.4720593911323394,24.0,,,,,,24.0,,
a_c_b_i_sg_b_p_sf_b,SVM,72,24.0,,,0.4583333333333333,0.4570707070707071,0.4583333333333333,0.45714975845410627,0.457070707070707,0.4583333333333333,0.45714975845410627,24.0,,,,,,,24.0,
a_c_b_i_sg_b_p_sf_s,RandomForest,72,24.0,,,0.375,0.38311688311688313,0.375,0.37792642140468224,0.38311688311688313,0.375,0.37792642140468236,24.0,,,,,,,,24.0
a_c_b_m_et_s_m_gp_s,RandomForest,72,24.0,,,0.625,0.627487922705314,0.625,0.6260553866936847,0.627487922705314,0.625,0.6260553866936847,,24.0,24.0,,,,,,
a_c_b_m_et_s_n_3_s,RandomForest,72,24.0,,,0.6805555555555556,0.6891377543551457,0.6805555555555557,0.6835899947398015,0.6891377543551457,0.6805555555555556,0.6835899947398016,,24.0,,24.0,,,,,
a_c_b_m_et_s_o_sq_s,RandomForest,72,24.0,,,0.6666666666666666,0.6679951690821256,0.6666666666666666,0.6671430983741015,0.6679951690821256,0.6666666666666666,0.6671430983741014,,24.0,,,24.0,,,,
a_c_b_m_et_s_p_af_b,RandomForest,72,24.0,,,0.5833333333333334,0.5990507314036727,0.5833333333333334,0.5835080748997535,0.5990507314036725,0.5833333333333334,0.5835080748997535,,24.0,,,,24.0,,,
a_c_b_m_et_s_p_af_s,RandomForest,72,24.0,,,0.5138888888888888,0.519620811287478,0.5138888888888888,0.5153050108932461,0.5196208112874781,0.5138888888888888,0.5153050108932462,,24.0,,,,,24.0,,
a_c_b_m_et_s_p_sf_b,SVM,72,24.0,,,0.4861111111111111,0.4898205659075224,0.4861111111111111,0.4864945141540886,0.48982056590752243,0.4861111111111111,0.4864945141540886,,24.0,,,,,,24.0,
a_c_b_m_et_s_p_sf_s,RandomForest,72,24.0,,,0.6527777777777778,0.6641830065359478,0.6527777777777778,0.6498964536130623,0.6641830065359478,0.6527777777777778,0.6498964536130623,,24.0,,,,,,,24.0
a_c_b_m_gp_s_n_3_s,RandomForest,72,24.0,,,0.5972222222222222,0.6078282828282828,0.5972222222222223,0.58878767431399,0.6078282828282828,0.5972222222222222,0.58878767431399,,,24.0,24.0,,,,,
a_c_b_m_gp_s_o_sq_s,RandomForest,72,24.0,,,0.5277777777777778,0.5432098765432098,0.5277777777777777,0.5303454715219421,0.54320987654321,0.5277777777777778,0.5303454715219421,,,24.0,,24.0,,,,
a_c_b_m_gp_s_p_af_b,RandomForest,72,24.0,,,0.4861111111111111,0.4849758454106281,0.4861111111111111,0.4853934481594056,0.484975845410628,0.4861111111111111,0.48539344815940566,,,24.0,,,24.0,,,
a_c_b_m_gp_s_p_af_s,RandomForest,72,24.0,,,0.6388888888888888,0.6419806763285024,0.638888888888889,0.6402397838568051,0.6419806763285024,0.6388888888888888,0.6402397838568051,,,24.0,,,,24.0,,
a_c_b_m_gp_s_p_sf_b,RandomForest,72,24.0,,,0.4861111111111111,0.4859899749373433,0.4861111111111111,0.48307229868691665,0.4859899749373433,0.4861111111111111,0.48307229868691665,,,24.0,,,,,24.0,
a_c_b_m_gp_s_p_sf_s,SVM,72,24.0,,,0.4305555555555556,0.4295279087244654,0.4305555555555556,0.4071360389717258,0.4295279087244654,0.4305555555555556,0.40713603897172573,,,24.0,,,,,,24.0
a_c_b_n_3_s_o_sq_s,RandomForest,72,24.0,,,0.6527777777777778,0.6520979020979021,0.6527777777777777,0.6517391304347826,0.6520979020979022,0.6527777777777778,0.6517391304347826,,,,24.0,24.0,,,,
a_c_b_n_3_s_p_af_b,RandomForest,72,24.0,,,0.6111111111111112,0.6094939543215405,0.6111111111111112,0.607091422842038,0.6094939543215405,0.6111111111111112,0.6070914228420381,,,,24.0,,24.0,,,
a_c_b_n_3_s_p_af_s,RandomForest,72,24.0,,,0.7638888888888888,0.7637917637917638,0.7638888888888888,0.7629951690821256,0.7637917637917637,0.7638888888888888,0.7629951690821256,,,,24.0,,,24.0,,
a_c_b_n_3_s_p_sf_b,RandomForest,72,24.0,,,0.6666666666666666,0.6623376623376623,0.6666666666666666,0.6622073578595318,0.6623376623376623,0.6666666666666666,0.6622073578595318,,,,24.0,,,,24.0,
a_c_b_n_3_s_p_sf_s,RandomForest,72,24.0,,,0.5833333333333334,0.5944810744810746,0.5833333333333334,0.5875132275132274,0.5944810744810745,0.5833333333333334,0.5875132275132275,,,,24.0,,,,,24.0
a_c_b_o_sq_s_p_af_b,RandomForest,72,24.0,,,0.5138888888888888,0.5212771392081738,0.513888888888889,0.5127283617849656,0.5212771392081738,0.5138888888888888,0.5127283617849656,,,,,24.0,24.0,,,
a_c_b_o_sq_s_p_af_s,RandomForest,72,24.0,,,0.5555555555555556,0.5648148148148148,0.5555555555555557,0.5587145969498911,0.5648148148148148,0.5555555555555556,0.558714596949891,,,,,24.0,,24.0,,
a_c_b_o_sq_s_p_sf_b,SVM,72,24.0,,,0.5694444444444444,0.5910288846721485,0.5694444444444445,0.5713845774821386,0.5910288846721484,0.5694444444444444,0.5713845774821384,,,,,24.0,,,24.0,
a_c_b_o_sq_s_p_sf_s,RandomForest,72,24.0,,,0.4583333333333333,0.46210526315789474,0.4583333333333333,0.4569749187689387,0.4621052631578948,0.4583333333333333,0.4569749187689387,,,,,24.0,,,,24.0
a_c_b_p_af_b_p_af_s,SVM,72,24.0,,,0.5694444444444444,0.5954296661193212,0.5694444444444444,0.5690211256248993,0.5954296661193212,0.5694444444444444,0.5690211256248993,,,,,,24.0,24.0,,
a_c_b_p_af_b_p_sf_b,RandomForest,72,24.0,,,0.5555555555555556,0.557012432012432,0.5555555555555555,0.5556280193236715,0.557012432012432,0.5555555555555556,0.5556280193236716,,,,,,24.0,,24.0,
a_c_b_p_af_b_p_sf_s,SVM,72,24.0,,,0.5277777777777778,0.5388685388685389,0.5277777777777778,0.5284493284493285,0.5388685388685389,0.5277777777777778,0.5284493284493285,,,,,,24.0,,,24.0
a_c_b_p_af_s_p_sf_b,RandomForest,72,24.0,,,0.5416666666666666,0.5603378103378103,0.5416666666666666,0.5453235653235653,0.5603378103378103,0.5416666666666666,0.5453235653235653,,,,,,,24.0,24.0,
a_c_b_p_af_s_p_sf_s,RandomForest,72,24.0,,,0.5416666666666666,0.5353047382032889,0.5416666666666667,0.5373625244115531,0.5353047382032889,0.5416666666666666,0.5373625244115531,,,,,,,24.0,,24.0
a_c_b_p_sf_b_p_sf_s,RandomForest,72,24.0,,,0.5416666666666666,0.5412698412698412,0.5416666666666666,0.5386557886557887,0.5412698412698412,0.5416666666666666,0.5386557886557887,,,,,,,,24.0,24.0
a_pu_b_b_m_b_i_sg_b,RandomForest,72,,24.0,24.0,0.5694444444444444,0.5864878671775223,0.5694444444444443,0.5718991999315449,0.5864878671775223,0.5694444444444444,0.5718991999315449,24.0,,,,,,,,
a_pu_b_b_m_b_m_et_s,SVM,72,,24.0,24.0,0.4722222222222222,0.4625220458553792,0.47222222222222227,0.4663398692810457,0.4625220458553792,0.4722222222222222,0.46633986928104576,,24.0,,,,,,,
a_pu_b_b_m_b_m_gp_s,RandomForest,72,,24.0,24.0,0.4166666666666667,0.4148212898212898,0.4166666666666667,0.41533816425120773,0.4148212898212898,0.4166666666666667,0.41533816425120773,,,24.0,,,,,,
a_pu_b_b_m_b_n_3_s,RandomForest,72,,24.0,24.0,0.5833333333333334,0.5849844599844599,0.5833333333333334,0.5834541062801932,0.58498445998446,0.5833333333333334,0.5834541062801932,,,,24.0,,,,,
a_pu_b_b_m_b_o_sq_s,RandomForest,72,,24.0,24.0,0.4861111111111111,0.49690170940170947,0.48611111111111116,0.48283950617283944,0.4969017094017094,0.4861111111111111,0.4828395061728395,,,,,24.0,,,,
a_pu_b_b_m_b_p_af_b,RandomForest,72,,24.0,24.0,0.6111111111111112,0.6179653679653679,0.6111111111111112,0.612597547380156,0.6179653679653679,0.6111111111111112,0.612597547380156,,,,,,24.0,,,
a_pu_b_b_m_b_p_af_s,RandomForest,72,,24.0,24.0,0.6388888888888888,0.6379468599033816,0.6388888888888888,0.6382194721860376,0.6379468599033816,0.6388888888888888,0.6382194721860377,,,,,,,24.0,,
a_pu_b_b_m_b_p_sf_b,SVM,72,,24.0,24.0,0.375,0.3684926184926185,0.375,0.3713526570048309,0.3684926184926185,0.375,0.3713526570048309,,,,,,,,24.0,
a_pu_b_b_m_b_p_sf_s,RandomForest,72,,24.0,24.0,0.5416666666666666,0.5432437932437932,0.5416666666666666,0.5377045177045178,0.5432437932437932,0.5416666666666666,0.5377045177045177,,,,,,,,,24.0
a_pu_b_i_sg_b_m_et_s,SVM,72,,24.0,,0.4583333333333333,0.4273202614379085,0.4583333333333333,0.43818249973882956,0.42732026143790847,0.4583333333333333,0.43818249973882956,24.0,24.0,,,,,,,
a_pu_b_i_sg_b_m_gp_s,RandomForest,72,,24.0,,0.2777777777777778,0.2734782608695652,0.27777777777777773,0.27554638876827325,0.2734782608695652,0.2777777777777778,0.27554638876827325,24.0,,24.0,,,,,,
a_pu_b_i_sg_b_n_3_s,RandomForest,72,,24.0,,0.5833333333333334,0.6013418630051491,0.5833333333333334,0.5845559134836632,0.601341863005149,0.5833333333333334,0.5845559134836632,24.0,,,24.0,,,,,
a_pu_b_i_sg_b_o_sq_s,RandomForest,72,,24.0,,0.5555555555555556,0.5566908212560387,0.5555555555555555,0.5559837410141362,0.5566908212560386,0.5555555555555556,0.5559837410141362,24.0,,,,24.0,,,,
a_pu_b_i_sg_b_p_af_b,RandomForest,72,,24.0,,0.5694444444444444,0.571353933422899,0.5694444444444443,0.5674414365144472,0.5713539334228989,0.5694444444444444,0.5674414365144472,24.0,,,,,24.0,,,
a_pu_b_i_sg_b_p_af_s,RandomForest,72,,24.0,,0.4861111111111111,0.48333333333333334,0.4861111111111111,0.48096911140389403,0.4833333333333333,0.4861111111111111,0.4809691114038941,24.0,,,,,,24.0,,
a_pu_b_i_sg_b_p_sf_b,SVM,72,,24.0,,0.3888888888888889,0.4062980030721966,0.3888888888888889,0.39393939393939387,0.4062980030721966,0.3888888888888889,0.3939393939393939,24.0,,,,,,,24.0,
a_pu_b_i_sg_b_p_sf_s,RandomForest,72,,24.0,,0.4583333333333333,0.46178266178266175,0.4583333333333333,0.4590173847316705,0.4617826617826618,0.4583333333333333,0.4590173847316705,24.0,,,,,,,,24.0
a_pu_b_m_et_s_m_gp_s,RandomForest,72,,24.0,,0.5277777777777778,0.5223583383746723,0.5277777777777777,0.5213483009117059,0.5223583383746724,0.5277777777777778,0.5213483009117059,,24.0,24.0,,,,,,
a_pu_b_m_et_s_n_3_s,RandomForest,72,,24.0,,0.6805555555555556,0.6735008818342152,0.6805555555555557,0.6753267973856208,0.6735008818342152,0.6805555555555556,0.675326797385621,,24.0,,24.0,,,,,
a_pu_b_m_et_s_o_sq_s,SVM,72,,24.0,,0.5555555555555556,0.5702380952380952,0.5555555555555556,0.547834274952919,0.5702380952380952,0.5555555555555556,0.547834274952919,,24.0,,,24.0,,,,
a_pu_b_m_et_s_p_af_b,SVM,72,,24.0,,0.5138888888888888,0.5239348370927318,0.5138888888888888,0.515649909337617,0.5239348370927319,0.5138888888888888,0.515649909337617,,24.0,,,,24.0,,,
a_pu_b_m_et_s_p_af_s,RandomForest,72,,24.0,,0.5138888888888888,0.503968253968254,0.513888888888889,0.507516339869281,0.503968253968254,0.5138888888888888,0.5075163398692811,,24.0,,,,,24.0,,
a_pu_b_m_et_s_p_sf_b,SVM,72,,24.0,,0.5555555555555556,0.572280701754386,0.5555555555555557,0.5598067491755199,0.572280701754386,0.5555555555555556,0.5598067491755199,,24.0,,,,,,24.0,
a_pu_b_m_et_s_p_sf_s,SVM,72,,24.0,,0.6111111111111112,0.6408730158730159,0.6111111111111112,0.6069520064529139,0.6408730158730158,0.6111111111111112,0.6069520064529139,,24.0,,,,,,,24.0
a_pu_b_m_gp_s_n_3_s,RandomForest,72,,24.0,,0.4444444444444444,0.451984126984127,0.4444444444444445,0.4457070707070707,0.451984126984127,0.4444444444444444,0.4457070707070707,,,24.0,24.0,,,,,
a_pu_b_m_gp_s_o_sq_s,RandomForest,72,,24.0,,0.3611111111111111,0.3606946526736632,0.36111111111111116,0.3591778888848339,0.3606946526736632,0.3611111111111111,0.3591778888848339,,,24.0,,24.0,,,,
a_pu_b_m_gp_s_p_af_b,RandomForest,72,,24.0,,0.4861111111111111,0.4861352657004831,0.4861111111111111,0.4859724031456554,0.48613526570048315,0.4861111111111111,0.48597240314565543,,,24.0,,,24.0,,,
a_pu_b_m_gp_s_p_af_s,RandomForest,72,,24.0,,0.5138888888888888,0.5128104575163398,0.5138888888888888,0.5081270087077288,0.5128104575163399,0.5138888888888888,0.5081270087077289,,,24.0,,,,24.0,,
a_pu_b_m_gp_s_p_sf_b,SVM,72,,24.0,,0.5277777777777778,0.5325814536340852,0.5277777777777778,0.5232927279438907,0.5325814536340852,0.5277777777777778,0.5232927279438907,,,24.0,,,,,24.0,
a_pu_b_m_gp_s_p_sf_s,SVM,72,,24.0,,0.375,0.39969834087481143,0.375,0.3690421455938697,0.39969834087481143,0.375,0.3690421455938697,,,24.0,,,,,,24.0
a_pu_b_n_3_s_o_sq_s,RandomForest,72,,24.0,,0.5277777777777778,0.5451774112943527,0.5277777777777778,0.533277374305074,0.5451774112943527,0.5277777777777778,0.533277374305074,,,,24.0,24.0,,,,
a_pu_b_n_3_s_p_af_b,RandomForest,72,,24.0,,0.5833333333333334,0.5840579710144927,0.5833333333333334,0.5835142567665365,0.5840579710144927,0.5833333333333334,0.5835142567665365,,,,24.0,,24.0,,,
a_pu_b_n_3_s_p_af_s,RandomForest,72,,24.0,,0.7222222222222222,0.7278554778554779,0.7222222222222222,0.7242028985507246,0.727855477855478,0.7222222222222222,0.7242028985507246,,,,24.0,,,24.0,,
a_pu_b_n_3_s_p_sf_b,RandomForest,72,,24.0,,0.4583333333333333,0.4509090909090909,0.4583333333333333,0.4543034605146406,0.4509090909090909,0.4583333333333333,0.4543034605146406,,,,24.0,,,,24.0,
a_pu_b_n_3_s_p_sf_s,RandomForest,72,,24.0,,0.5277777777777778,0.5306577480490523,0.5277777777777777,0.5287943262411349,0.5306577480490523,0.5277777777777778,0.5287943262411348,,,,24.0,,,,,24.0
a_pu_b_o_sq_s_p_af_b,SVM,72,,24.0,,0.5277777777777778,0.5557734204793029,0.5277777777777778,0.531770911081256,0.5557734204793028,0.5277777777777778,0.531770911081256,,,,,24.0,24.0,,,
a_pu_b_o_sq_s_p_af_s,SVM,72,,24.0,,0.4444444444444444,0.43749085053432885,0.4444444444444444,0.4399883912862092,0.4374908505343288,0.4444444444444444,0.43998839128620915,,,,,24.0,,24.0,,
a_pu_b_o_sq_s_p_sf_b,SVM,72,,24.0,,0.5694444444444444,0.5864052287581699,0.5694444444444444,0.5695235637163628,0.5864052287581699,0.5694444444444444,0.5695235637163627,,,,,24.0,,,24.0,
a_pu_b_o_sq_s_p_sf_s,RandomForest,72,,24.0,,0.3888888888888889,0.4037917374080362,0.38888888888888884,0.39254220669791956,0.4037917374080362,0.3888888888888889,0.39254220669791956,,,,,24.0,,,,24.0
a_pu_b_p_af_b_p_af_s,SVM,72,,24.0,,0.6111111111111112,0.6441334598355472,0.6111111111111112,0.6177937915742794,0.644133459835547,0.6111111111111112,0.6177937915742794,,,,,,24.0,24.0,,
a_pu_b_p_af_b_p_sf_b,RandomForest,72,,24.0,,0.4444444444444444,0.44382716049382714,0.4444444444444444,0.4423526986552197,0.4438271604938272,0.4444444444444444,0.44235269865521964,,,,,,24.0,,24.0,
a_pu_b_p_af_b_p_sf_s,SVM,72,,24.0,,0.4583333333333333,0.4545454545454546,0.4583333333333333,0.452642365685844,0.45454545454545453,0.4583333333333333,0.452642365685844,,,,,,24.0,,,24.0
a_pu_b_p_af_s_p_sf_b,RandomForest,72,,24.0,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,24.0,24.0,
a_pu_b_p_af_s_p_sf_s,RandomForest,72,,24.0,,0.5,0.5097402597402597,0.5,0.5033444816053512,0.5097402597402598,0.5,0.5033444816053512,,,,,,,24.0,,24.0
a_pu_b_p_sf_b_p_sf_s,RandomForest,72,,24.0,,0.5138888888888888,0.5128205128205128,0.5138888888888888,0.5129078014184397,0.5128205128205128,0.5138888888888888,0.5129078014184398,,,,,,,,24.0,24.0
b_m_b_i_sg_b_m_et_s,RandomForest,72,,,24.0,0.6388888888888888,0.6373913043478261,0.6388888888888888,0.6379360254740194,0.6373913043478261,0.6388888888888888,0.6379360254740194,24.0,24.0,,,,,,,
b_m_b_i_sg_b_m_gp_s,RandomForest,72,,,24.0,0.5,0.5032467532467533,0.49999999999999994,0.5,0.5032467532467533,0.5,0.5,24.0,,24.0,,,,,,
b_m_b_i_sg_b_n_3_s,RandomForest,72,,,24.0,0.5972222222222222,0.5950915750915752,0.5972222222222223,0.594920634920635,0.5950915750915752,0.5972222222222222,0.5949206349206348,24.0,,,24.0,,,,,
b_m_b_i_sg_b_o_sq_s,SVM,72,,,24.0,0.625,0.6255310641275553,0.625,0.6216020671834626,0.6255310641275553,0.625,0.6216020671834624,24.0,,,,24.0,,,,
b_m_b_i_sg_b_p_af_b,SVM,72,,,24.0,0.5555555555555556,0.5668458781362008,0.5555555555555556,0.5558922558922559,0.5668458781362007,0.5555555555555556,0.5558922558922559,24.0,,,,,24.0,,,
b_m_b_i_sg_b_p_af_s,RandomForest,72,,,24.0,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,24.0,,,,,,24.0,,
b_m_b_i_sg_b_p_sf_b,RandomForest,72,,,24.0,0.6527777777777778,0.6546231546231546,0.6527777777777778,0.6529468599033816,0.6546231546231547,0.6527777777777778,0.6529468599033816,24.0,,,,,,,24.0,
b_m_b_i_sg_b_p_sf_s,RandomForest,72,,,24.0,0.4166666666666667,0.42956660198039515,0.4166666666666667,0.4210980463646583,0.42956660198039504,0.4166666666666667,0.4210980463646583,24.0,,,,,,,,24.0
b_m_b_m_et_s_m_gp_s,RandomForest,72,,,24.0,0.6111111111111112,0.6212121212121212,0.6111111111111112,0.6142697881828316,0.6212121212121213,0.6111111111111112,0.6142697881828316,,24.0,24.0,,,,,,
