label_combination,best_model,n_samples,samples_a_c_b,samples_a_pu_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_a_c_b,recall_a_c_b,f1_a_c_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_et_s,precision_m_et_s,recall_m_et_s,f1_m_et_s,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s,samples_p_af_b,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s
a_c_b_a_pu_b,RandomForest,48,24.0,24.0,0.5833333333333334,0.583916083916084,0.5833333333333333,0.5826086956521739,0.5839160839160839,0.5833333333333334,0.5826086956521739,0.5769230769230769,0.625,0.6,0.5909090909090909,0.5416666666666666,0.5652173913043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c_b_b_m_b,RandomForest,48,24.0,,0.6666666666666666,0.6678321678321678,0.6666666666666667,0.6660869565217391,0.6678321678321678,0.6666666666666666,0.6660869565217391,0.6538461538461539,0.7083333333333334,0.68,,,,24.0,0.6818181818181818,0.625,0.6521739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c_b_i_sg_b,SVM,48,24.0,,0.5625,0.5626086956521739,0.5625,0.5623100303951367,0.562608695652174,0.5625,0.5623100303951367,0.56,0.5833333333333334,0.5714285714285714,,,,,,,,24.0,0.5652173913043478,0.5416666666666666,0.5531914893617021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c_b_m_et_s,RandomForest,48,24.0,,0.6666666666666666,0.6678321678321678,0.6666666666666667,0.6660869565217391,0.6678321678321678,0.6666666666666666,0.6660869565217391,0.6818181818181818,0.625,0.6521739130434783,,,,,,,,,,,,24.0,0.6538461538461539,0.7083333333333334,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c_b_m_gp_s,SVM,48,24.0,,0.5625,0.5653357531760436,0.5625,0.5577007459412022,0.5653357531760436,0.5625,0.5577007459412023,0.5517241379310345,0.6666666666666666,0.6037735849056604,,,,,,,,,,,,,,,,24.0,0.5789473684210527,0.4583333333333333,0.5116279069767442,,,,,,,,,,,,,,,,,,,,,,,,
a_c_b_n_3_s,RandomForest,48,24.0,,0.8541666666666666,0.8597883597883598,0.8541666666666666,0.8535947712418301,0.8597883597883597,0.8541666666666666,0.85359477124183,0.9047619047619048,0.7916666666666666,0.8444444444444444,,,,,,,,,,,,,,,,,,,,24.0,0.8148148148148148,0.9166666666666666,0.8627450980392157,,,,,,,,,,,,,,,,,,,,
a_c_b_o_sq_s,RandomForest,48,24.0,,0.6666666666666666,0.6678321678321678,0.6666666666666667,0.6660869565217391,0.6678321678321678,0.6666666666666666,0.6660869565217391,0.6538461538461539,0.7083333333333334,0.68,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6818181818181818,0.625,0.6521739130434783,,,,,,,,,,,,,,,,
a_c_b_p_af_b,RandomForest,48,24.0,,0.625,0.6258741258741258,0.625,0.6243478260869566,0.6258741258741259,0.625,0.6243478260869565,0.6153846153846154,0.6666666666666666,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6363636363636364,0.5833333333333334,0.6086956521739131,,,,,,,,,,,,
a_c_b_p_af_s,RandomForest,48,24.0,,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,,,,,,,,
a_c_b_p_sf_b,SVM,48,24.0,,0.625,0.6258741258741258,0.625,0.6243478260869566,0.6258741258741259,0.625,0.6243478260869565,0.6363636363636364,0.5833333333333334,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6153846153846154,0.6666666666666666,0.64,,,,
a_c_b_p_sf_s,RandomForest,48,24.0,,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872
a_pu_b_b_m_b,SVM,48,,24.0,0.5416666666666666,0.5428571428571429,0.5416666666666666,0.5384615384615384,0.5428571428571428,0.5416666666666666,0.5384615384615384,,,,0.55,0.4583333333333333,0.5,24.0,0.5357142857142857,0.625,0.5769230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_pu_b_i_sg_b,RandomForest,48,,24.0,0.7083333333333334,0.7097902097902098,0.7083333333333333,0.7078260869565217,0.7097902097902097,0.7083333333333334,0.7078260869565218,,,,0.7272727272727273,0.6666666666666666,0.6956521739130435,,,,,24.0,0.6923076923076923,0.75,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_pu_b_m_et_s,SVM,48,,24.0,0.6041666666666666,0.6058201058201058,0.6041666666666666,0.6026143790849673,0.6058201058201058,0.6041666666666666,0.6026143790849673,,,,0.6190476190476191,0.5416666666666666,0.5777777777777777,,,,,,,,,24.0,0.5925925925925926,0.6666666666666666,0.6274509803921569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_pu_b_m_gp_s,SVM,48,,24.0,0.5416666666666666,0.5444444444444445,0.5416666666666666,0.5343915343915344,0.5444444444444444,0.5416666666666666,0.5343915343915343,,,,0.5555555555555556,0.4166666666666667,0.47619047619047616,,,,,,,,,,,,,24.0,0.5333333333333333,0.6666666666666666,0.5925925925925926,,,,,,,,,,,,,,,,,,,,,,,,
a_pu_b_n_3_s,RandomForest,48,,24.0,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,0.7727272727272727,0.7083333333333334,0.7391304347826086,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,,,,,,,,,,,,,
a_pu_b_o_sq_s,RandomForest,48,,24.0,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,,,,,,,,,,,,,,,,
a_pu_b_p_af_b,SVM,48,,24.0,0.625,0.6285714285714286,0.625,0.6223776223776224,0.6285714285714286,0.625,0.6223776223776224,,,,0.65,0.5416666666666666,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6071428571428571,0.7083333333333334,0.6538461538461539,,,,,,,,,,,,
a_pu_b_p_af_s,RandomForest,48,,24.0,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,0.7727272727272727,0.7083333333333334,0.7391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,
a_pu_b_p_sf_b,RandomForest,48,,24.0,0.625,0.6285714285714286,0.625,0.6223776223776224,0.6285714285714286,0.625,0.6223776223776224,,,,0.65,0.5416666666666666,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6071428571428571,0.7083333333333334,0.6538461538461539,,,,
a_pu_b_p_sf_s,RandomForest,48,,24.0,0.5416666666666666,0.5444444444444445,0.5416666666666666,0.5343915343915344,0.5444444444444444,0.5416666666666666,0.5343915343915343,,,,0.5333333333333333,0.6666666666666666,0.5925925925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5555555555555556,0.4166666666666667,0.47619047619047616
b_m_b_i_sg_b,SVM,48,,,0.5625,0.5634920634920635,0.5625,0.5607843137254902,0.5634920634920635,0.5625,0.5607843137254902,,,,,,,24.0,0.5714285714285714,0.5,0.5333333333333333,24.0,0.5555555555555556,0.625,0.5882352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_m_b_m_et_s,RandomForest,48,,,0.875,0.8776223776223776,0.875,0.8747826086956522,0.8776223776223775,0.875,0.8747826086956522,,,,,,,24.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,,,,,24.0,0.8461538461538461,0.9166666666666666,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_m_b_m_gp_s,SVM,48,,,0.6666666666666666,0.6875,0.6666666666666667,0.6571428571428571,0.6875,0.6666666666666666,0.6571428571428571,,,,,,,24.0,0.625,0.8333333333333334,0.7142857142857143,,,,,,,,,24.0,0.75,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,
b_m_b_n_3_s,SVM,48,,,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,,,,24.0,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,,,,,,,,,,,,,,,,,,,,
b_m_b_o_sq_s,SVM,48,,,0.6875,0.7049335863377608,0.6875,0.6807095343680709,0.7049335863377609,0.6875,0.6807095343680709,,,,,,,24.0,0.7647058823529411,0.5416666666666666,0.6341463414634146,,,,,,,,,,,,,,,,,24.0,0.6451612903225806,0.8333333333333334,0.7272727272727273,,,,,,,,,,,,,,,,
b_m_b_p_af_b,RandomForest,48,,,0.7291666666666666,0.7295652173913043,0.7291666666666667,0.7290490664350847,0.7295652173913044,0.7291666666666666,0.7290490664350848,,,,,,,24.0,0.7391304347826086,0.7083333333333334,0.723404255319149,,,,,,,,,,,,,,,,,,,,,24.0,0.72,0.75,0.7346938775510204,,,,,,,,,,,,
b_m_b_p_af_s,RandomForest,48,,,0.8541666666666666,0.8547826086956521,0.8541666666666667,0.8541033434650456,0.8547826086956523,0.8541666666666666,0.8541033434650456,,,,,,,24.0,0.84,0.875,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.8695652173913043,0.8333333333333334,0.851063829787234,,,,,,,,
b_m_b_p_sf_b,RandomForest,48,,,0.6875,0.6904761904761905,0.6875,0.6862745098039216,0.6904761904761904,0.6875,0.6862745098039215,,,,,,,24.0,0.7142857142857143,0.625,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6666666666666666,0.75,0.7058823529411765,,,,
b_m_b_p_sf_s,RandomForest,48,,,0.5833333333333334,0.5857142857142856,0.5833333333333333,0.5804195804195804,0.5857142857142857,0.5833333333333334,0.5804195804195804,,,,,,,24.0,0.6,0.5,0.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5714285714285714,0.6666666666666666,0.6153846153846154
i_sg_b_m_et_s,RandomForest,48,,,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,24.0,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i_sg_b_m_gp_s,SVM,48,,,0.5625,0.5653357531760436,0.5625,0.5577007459412022,0.5653357531760436,0.5625,0.5577007459412023,,,,,,,,,,,24.0,0.5789473684210527,0.4583333333333333,0.5116279069767442,,,,,24.0,0.5517241379310345,0.6666666666666666,0.6037735849056604,,,,,,,,,,,,,,,,,,,,,,,,
i_sg_b_n_3_s,SVM,48,,,0.625,0.6333333333333333,0.625,0.6190476190476191,0.6333333333333333,0.625,0.6190476190476191,,,,,,,,,,,24.0,0.6666666666666666,0.5,0.5714285714285714,,,,,,,,,24.0,0.6,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,
i_sg_b_o_sq_s,RandomForest,48,,,0.7083333333333334,0.7097902097902098,0.7083333333333333,0.7078260869565217,0.7097902097902097,0.7083333333333334,0.7078260869565218,,,,,,,,,,,24.0,0.7272727272727273,0.6666666666666666,0.6956521739130435,,,,,,,,,,,,,24.0,0.6923076923076923,0.75,0.72,,,,,,,,,,,,,,,,
i_sg_b_p_af_b,RandomForest,48,,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,,,,,,,,,,,24.0,0.625,0.625,0.625,,,,,,,,,,,,,,,,,24.0,0.625,0.625,0.625,,,,,,,,,,,,
i_sg_b_p_af_s,RandomForest,48,,,0.6458333333333334,0.6460869565217391,0.6458333333333333,0.6456795484151108,0.6460869565217391,0.6458333333333334,0.6456795484151107,,,,,,,,,,,24.0,0.6521739130434783,0.625,0.6382978723404256,,,,,,,,,,,,,,,,,,,,,24.0,0.64,0.6666666666666666,0.6530612244897959,,,,,,,,
i_sg_b_p_sf_b,SVM,48,,,0.5833333333333334,0.583916083916084,0.5833333333333333,0.5826086956521739,0.5839160839160839,0.5833333333333334,0.5826086956521739,,,,,,,,,,,24.0,0.5909090909090909,0.5416666666666666,0.5652173913043478,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5769230769230769,0.625,0.6,,,,
i_sg_b_p_sf_s,RandomForest,48,,,0.5,0.5,0.5,0.4920634920634921,0.5,0.5,0.4920634920634921,,,,,,,,,,,24.0,0.5,0.375,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5,0.625,0.5555555555555556
m_et_s_m_gp_s,SVM,48,,,0.7708333333333334,0.771304347826087,0.7708333333333333,0.7707338254450716,0.7713043478260871,0.7708333333333334,0.7707338254450716,,,,,,,,,,,,,,,24.0,0.782608695652174,0.75,0.7659574468085106,24.0,0.76,0.7916666666666666,0.7755102040816326,,,,,,,,,,,,,,,,,,,,,,,,
m_et_s_n_3_s,RandomForest,48,,,0.875,0.8776223776223776,0.875,0.8747826086956522,0.8776223776223775,0.875,0.8747826086956522,,,,,,,,,,,,,,,24.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,,,,,24.0,0.8461538461538461,0.9166666666666666,0.88,,,,,,,,,,,,,,,,,,,,
m_et_s_o_sq_s,RandomForest,48,,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,,,,,,,,,,,,,,,24.0,0.625,0.625,0.625,,,,,,,,,24.0,0.625,0.625,0.625,,,,,,,,,,,,,,,,
m_et_s_p_af_b,SVM,48,,,0.7083333333333334,0.7142857142857143,0.7083333333333333,0.7062937062937062,0.7142857142857143,0.7083333333333334,0.7062937062937062,,,,,,,,,,,,,,,24.0,0.6785714285714286,0.7916666666666666,0.7307692307692307,,,,,,,,,,,,,24.0,0.75,0.625,0.6818181818181818,,,,,,,,,,,,
m_et_s_p_af_s,RandomForest,48,,,0.6666666666666666,0.6714285714285715,0.6666666666666667,0.6643356643356644,0.6714285714285714,0.6666666666666666,0.6643356643356643,,,,,,,,,,,,,,,24.0,0.7,0.5833333333333334,0.6363636363636364,,,,,,,,,,,,,,,,,24.0,0.6428571428571429,0.75,0.6923076923076923,,,,,,,,
m_et_s_p_sf_b,RandomForest,48,,,0.7083333333333334,0.7097902097902098,0.7083333333333333,0.7078260869565217,0.7097902097902097,0.7083333333333334,0.7078260869565218,,,,,,,,,,,,,,,24.0,0.6923076923076923,0.75,0.72,,,,,,,,,,,,,,,,,,,,,24.0,0.7272727272727273,0.6666666666666666,0.6956521739130435,,,,
m_et_s_p_sf_s,RandomForest,48,,,0.7916666666666666,0.7937062937062938,0.7916666666666667,0.791304347826087,0.7937062937062938,0.7916666666666666,0.7913043478260869,,,,,,,,,,,,,,,24.0,0.8181818181818182,0.75,0.782608695652174,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7692307692307693,0.8333333333333334,0.8
m_gp_s_n_3_s,SVM,48,,,0.5208333333333334,0.5208695652173914,0.5208333333333333,0.5206252713851498,0.5208695652173913,0.5208333333333334,0.5206252713851498,,,,,,,,,,,,,,,,,,,24.0,0.5217391304347826,0.5,0.5106382978723404,24.0,0.52,0.5416666666666666,0.5306122448979592,,,,,,,,,,,,,,,,,,,,
m_gp_s_o_sq_s,SVM,48,,,0.75,0.78125,0.75,0.7428571428571429,0.78125,0.75,0.7428571428571429,,,,,,,,,,,,,,,,,,,24.0,0.875,0.5833333333333334,0.7,,,,,24.0,0.6875,0.9166666666666666,0.7857142857142857,,,,,,,,,,,,,,,,
m_gp_s_p_af_b,RandomForest,48,,,0.7083333333333334,0.7142857142857143,0.7083333333333333,0.7062937062937062,0.7142857142857143,0.7083333333333334,0.7062937062937062,,,,,,,,,,,,,,,,,,,24.0,0.75,0.625,0.6818181818181818,,,,,,,,,24.0,0.6785714285714286,0.7916666666666666,0.7307692307692307,,,,,,,,,,,,
m_gp_s_p_af_s,RandomForest,48,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,,,,,,,24.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,24.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,,,,
m_gp_s_p_sf_b,SVM,48,,,0.6458333333333334,0.6593927893738141,0.6458333333333333,0.6381374722838138,0.6593927893738141,0.6458333333333334,0.6381374722838137,,,,,,,,,,,,,,,,,,,24.0,0.7058823529411765,0.5,0.5853658536585366,,,,,,,,,,,,,,,,,24.0,0.6129032258064516,0.7916666666666666,0.6909090909090909,,,,
m_gp_s_p_sf_s,SVM,48,,,0.5416666666666666,0.5428571428571429,0.5416666666666666,0.5384615384615384,0.5428571428571428,0.5416666666666666,0.5384615384615384,,,,,,,,,,,,,,,,,,,24.0,0.55,0.4583333333333333,0.5,,,,,,,,,,,,,,,,,,,,,24.0,0.5357142857142857,0.625,0.5769230769230769
n_3_s_o_sq_s,SVM,48,,,0.8333333333333334,0.8356643356643356,0.8333333333333333,0.8330434782608696,0.8356643356643357,0.8333333333333334,0.8330434782608696,,,,,,,,,,,,,,,,,,,,,,,24.0,0.8636363636363636,0.7916666666666666,0.8260869565217391,24.0,0.8076923076923077,0.875,0.84,,,,,,,,,,,,,,,,
n_3_s_p_af_b,SVM,48,,,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,,,,,24.0,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,
n_3_s_p_af_s,RandomForest,48,,,0.875,0.875,0.875,0.875,0.875,0.875,0.875,,,,,,,,,,,,,,,,,,,,,,,24.0,0.875,0.875,0.875,,,,,,,,,24.0,0.875,0.875,0.875,,,,,,,,
n_3_s_p_sf_b,SVM,48,,,0.7708333333333334,0.771304347826087,0.7708333333333333,0.7707338254450716,0.7713043478260871,0.7708333333333334,0.7707338254450716,,,,,,,,,,,,,,,,,,,,,,,24.0,0.782608695652174,0.75,0.7659574468085106,,,,,,,,,,,,,24.0,0.76,0.7916666666666666,0.7755102040816326,,,,
n_3_s_p_sf_s,RandomForest,48,,,0.5416666666666666,0.5419580419580419,0.5416666666666667,0.5408695652173914,0.541958041958042,0.5416666666666666,0.5408695652173913,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5454545454545454,0.5,0.5217391304347826,,,,,,,,,,,,,,,,,24.0,0.5384615384615384,0.5833333333333334,0.56
o_sq_s_p_af_b,RandomForest,48,,,0.5833333333333334,0.583916083916084,0.5833333333333333,0.5826086956521739,0.5839160839160839,0.5833333333333334,0.5826086956521739,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5769230769230769,0.625,0.6,24.0,0.5909090909090909,0.5416666666666666,0.5652173913043478,,,,,,,,,,,,
o_sq_s_p_af_s,SVM,48,,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.75,0.75,0.75,,,,,24.0,0.75,0.75,0.75,,,,,,,,
o_sq_s_p_sf_b,SVM,48,,,0.7708333333333334,0.7751322751322751,0.7708333333333334,0.7699346405228757,0.7751322751322752,0.7708333333333334,0.7699346405228757,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7407407407407407,0.8333333333333334,0.7843137254901961,,,,,,,,,24.0,0.8095238095238095,0.7083333333333334,0.7555555555555555,,,,
o_sq_s_p_sf_s,SVM,48,,,0.6666666666666666,0.6714285714285715,0.6666666666666667,0.6643356643356644,0.6714285714285714,0.6666666666666666,0.6643356643356643,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6428571428571429,0.75,0.6923076923076923,,,,,,,,,,,,,24.0,0.7,0.5833333333333334,0.6363636363636364
p_af_b_p_af_s,SVM,48,,,0.75,0.7666666666666666,0.75,0.746031746031746,0.7666666666666666,0.75,0.746031746031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7,0.875,0.7777777777777778,24.0,0.8333333333333334,0.625,0.7142857142857143,,,,,,,,
p_af_b_p_sf_b,RandomForest,48,,,0.7083333333333334,0.7142857142857143,0.7083333333333333,0.7062937062937062,0.7142857142857143,0.7083333333333334,0.7062937062937062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.75,0.625,0.6818181818181818,,,,,24.0,0.6785714285714286,0.7916666666666666,0.7307692307692307,,,,
p_af_b_p_sf_s,SVM,48,,,0.6666666666666666,0.6678321678321678,0.6666666666666667,0.6660869565217391,0.6678321678321678,0.6666666666666666,0.6660869565217391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6538461538461539,0.7083333333333334,0.68,,,,,,,,,24.0,0.6818181818181818,0.625,0.6521739130434783
p_af_s_p_sf_b,RandomForest,48,,,0.7291666666666666,0.7328042328042328,0.7291666666666666,0.7281045751633988,0.7328042328042329,0.7291666666666666,0.7281045751633988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7037037037037037,0.7916666666666666,0.7450980392156863,24.0,0.7619047619047619,0.6666666666666666,0.7111111111111111,,,,
p_af_s_p_sf_s,RandomForest,48,,,0.7708333333333334,0.771304347826087,0.7708333333333333,0.7707338254450716,0.7713043478260871,0.7708333333333334,0.7707338254450716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.782608695652174,0.75,0.7659574468085106,,,,,24.0,0.76,0.7916666666666666,0.7755102040816326
p_sf_b_p_sf_s,SVM,48,,,0.625,0.6285714285714286,0.625,0.6223776223776224,0.6285714285714286,0.625,0.6223776223776224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6071428571428571,0.7083333333333334,0.6538461538461539,24.0,0.65,0.5416666666666666,0.5909090909090909
